ddi_id,drug1,drug2,description,level
5,Metformin,Iodamide,IODAMIDE MEGLUMINE/METFORMIN HYDROCHLORIDE [VA Drug Interaction],MODERATE
6,Metformin,Ioxaglic Acid,IOXAGLATE/METFORMIN HYDROCHLORIDE [VA Drug Interaction],MODERATE
7,Atomoxetine,Phenelzine,ATOMOXETINE HCL/PHENELZINE [VA Drug Interaction],MAJOR
8,Atomoxetine,Tranylcypromine,ATOMOXETINE HCL/TRANYLCYPROMINE [VA Drug Interaction],MAJOR
9,Atomoxetine,Fluoxetine,ATOMOXETINE HCL/FLUOXETINE [VA Drug Interaction],MODERATE
10,Atomoxetine,Isocarboxazid,ATOMOXETINE HCL/ISOCARBOXAZID [VA Drug Interaction],MAJOR
11,Atomoxetine,Paroxetine,ATOMOXETINE HCL/PAROXETINE [VA Drug Interaction],MODERATE
12,Atomoxetine,Quinidine,ATOMOXETINE HCL/QUINIDINE [VA Drug Interaction],MODERATE
13,Atomoxetine,Selegiline,ATOMOXETINE HCL/SELEGILINE [VA Drug Interaction],MAJOR
14,Atomoxetine,Fosamprenavir,ATOMOXETINE HCL/FOSAMPRENAVIR [VA Drug Interaction],MODERATE
15,Gatifloxacin,Pioglitazone,GATIFLOXACIN/PIOGLITAZONE HCL [VA Drug Interaction],MAJOR
16,Ciprofloxacin,Sevelamer,CIPROFLOXACIN/SEVELAMER HCL [VA Drug Interaction],MODERATE
17,Gemfibrozil,Pioglitazone,GEMFIBROZIL/PIOGLITAZONE HCL [VA Drug Interaction],MODERATE
18,Atomoxetine,Linezolid,ATOMOXETINE HCL/LINEZOLID [VA Drug Interaction],MAJOR
19,Atomoxetine,Bupropion,ATOMOXETINE HCL/BUPROPION [VA Drug Interaction],MODERATE
20,Atomoxetine,Cinacalcet,ATOMOXETINE HCL/CINACALCET [VA Drug Interaction],MODERATE
21,Sevelamer,Levothyroxine Sodium,LEVOTHYROXINE SODIUM/SEVELAMER HCL [VA Drug Interaction],MODERATE
22,Sevelamer,Liothyronine,LIOTHYRONINE SODIUM/SEVELAMER HCL [VA Drug Interaction],MODERATE
23,Atomoxetine,Terbinafine,ATOMOXETINE HCL/TERBINAFINE HYDROCHLORIDE [VA Drug Interaction],MODERATE
24,Stavudine,Zidovudine,STAVUDINE (d4T)/ZIDOVUDINE [VA Drug Interaction],MODERATE
25,Lansoprazole,Zalcitabine,"LANSOPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
26,Omeprazole,Zalcitabine,"OMEPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
27,Rabeprazole,Zalcitabine,"RABEPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
28,Ranitidine,Zalcitabine,"RANITIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
29,Famotidine,Zalcitabine,"FAMOTIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
30,Calcium Carbonate,Zalcitabine,"CALCIUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
31,Aluminum Carbonate,Zalcitabine,"ALUMINUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
32,Sucralfate,Zalcitabine,"SUCRALFATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
33,Algeldrate,Zalcitabine,"ALUMINUM HYDROXIDE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
34,Magnesium Oxide,Zalcitabine,"MAGNESIUM OXIDE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
35,Magnesium Carbonate,Zalcitabine,"MAGNESIUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
36,Pantoprazole,Zalcitabine,"PANTOPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
37,Lamivudine,Zalcitabine,"LAMIVUDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
38,Estropipate,Phenobarbital,ESTROPIPATE/PHENOBARBITAL [VA Drug Interaction],MAJOR
39,Carbamazepine,Estropipate,CARBAMAZEPINE/ESTROPIPATE [VA Drug Interaction],MAJOR
40,Estropipate,Phenytoin,ESTROPIPATE/PHENYTOIN [VA Drug Interaction],MODERATE
41,Estropipate,Fosphenytoin,ESTROPIPATE/FOSPHENYTOIN SODIUM [VA Drug Interaction],MODERATE
42,Cimetidine,Zalcitabine,"CIMETIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
43,Estropipate,Lamotrigine,ESTROPIPATE/LAMOTRIGINE [VA Drug Interaction],MODERATE
44,Ritonavir,Estropipate,ESTROPIPATE/RITONAVIR [VA Drug Interaction],MAJOR
45,Estropipate,Letrozole,ESTROPIPATE/LETROZOLE [VA Drug Interaction],MAJOR
46,Ulipristal Acetate,Estropipate,ESTROPIPATE/ULIPRISTAL ACETATE [VA Drug Interaction],MODERATE
47,Clobazam,Estropipate,CLOBAZAM/ESTROPIPATE [VA Drug Interaction],MODERATE
48,Cobicistat,Estropipate,COBICISTAT/ESTROPIPATE [VA Drug Interaction],MODERATE
49,Estropipate,Atazanavir,ATAZANAVIR/ESTROPIPATE [VA Drug Interaction],MODERATE
50,Estropipate,Darunavir,DARUNAVIR/ESTROPIPATE [VA Drug Interaction],MODERATE
51,Estropipate,Fosamprenavir,ESTROPIPATE/FOSAMPRENAVIR [VA Drug Interaction],MODERATE
52,Estropipate,Nelfinavir,ESTROPIPATE/NELFINAVIR MESYLATE [VA Drug Interaction],MODERATE
53,Estropipate,Saquinavir,ESTROPIPATE/SAQUINAVIR [VA Drug Interaction],MODERATE
54,Estropipate,Tipranavir,ESTROPIPATE/TIPRANAVIR [VA Drug Interaction],MODERATE
55,Amprenavir,Estropipate,AMPRENAVIR/ESTROPIPATE [VA Drug Interaction],MODERATE
56,Dabrafenib,Estropipate,DABRAFENIB/ESTROPIPATE [VA Drug Interaction],MODERATE
57,Mibefradil,Terfenadine,MIBEFRADIL DIHYDROCHLORIDE/TERFENADINE [VA Drug Interaction],MAJOR
58,Crizotinib,Mibefradil,CRIZOTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
59,Dasatinib,Mibefradil,DASATINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
60,Lapatinib,Mibefradil,LAPATINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
61,Nilotinib,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/NILOTINIB [VA Drug Interaction],MODERATE
62,Pazopanib,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/PAZOPANIB [VA Drug Interaction],MODERATE
63,Sunitinib,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/SUNITINIB [VA Drug Interaction],MODERATE
64,Trazodone,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/TRAZODONE [VA Drug Interaction],MODERATE
65,Ruxolitinib,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/RUXOLITINIB [VA Drug Interaction],MODERATE
66,Maraviroc,Mibefradil,MARAVIROC/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
67,Romidepsin,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/ROMIDEPSIN [VA Drug Interaction],MODERATE
68,Ixabepilone,Mibefradil,IXABEPILONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
69,Axitinib,Mibefradil,AXITINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
70,Eplerenone,Mibefradil,EPLERENONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
71,Saxagliptin,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/SAXAGLIPTIN [VA Drug Interaction],MAJOR
72,Dronedarone,Mibefradil,DRONEDARONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
73,Darifenacin,Mibefradil,DARIFENACIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
74,Fesoterodine,Mibefradil,FESOTERODINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
75,Solifenacin,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/SOLIFENACIN SUCCINATE [VA Drug Interaction],MODERATE
76,Tolterodine,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/TOLTERODINE TARTRATE [VA Drug Interaction],MODERATE
77,Conivaptan,Mibefradil,CONIVAPTAN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
78,Tolvaptan,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/TOLVAPTAN [VA Drug Interaction],MAJOR
79,Mibefradil,Tamsulosin,MIBEFRADIL DIHYDROCHLORIDE/TAMSULOSIN HYDROCHLORIDE [VA Drug Interaction],MAJOR
80,Mibefradil,Silodosin,MIBEFRADIL DIHYDROCHLORIDE/SILODOSIN [VA Drug Interaction],MAJOR
81,Mibefradil,Alfuzosin,ALFUZOSIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
82,Mifepristone,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/MIFEPRISTONE [VA Drug Interaction],MODERATE
83,Colchicine,Mibefradil,COLCHICINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
84,Fentanyl,Mibefradil,FENTANYL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
85,Alfentanil,Mibefradil,ALFENTANIL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
86,Oxycodone,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/OXYCODONE [VA Drug Interaction],MODERATE
87,Bromocriptine,Mibefradil,BROMOCRIPTINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
88,Cabergoline,Mibefradil,CABERGOLINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
89,Methylergometrine,Mibefradil,METHYLERGONOVINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
90,Methysergide,Mibefradil,METHYSERGIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
91,Pergolide,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/PERGOLIDE [VA Drug Interaction],MAJOR
92,Bosutinib,Mibefradil,BOSUTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
93,Tofacitinib,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/TOFACITINIB [VA Drug Interaction],MODERATE
94,Lomitapide,Mibefradil,LOMITAPIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
95,Ticagrelor,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/TICAGRELOR [VA Drug Interaction],MAJOR
96,Cabozantinib,Mibefradil,CABOZANTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
97,Ponatinib,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/PONATINIB [VA Drug Interaction],MODERATE
98,Bedaquiline,Mibefradil,BEDAQUILINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
99,Dabrafenib,Mibefradil,DABRAFENIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
100,Aripiprazole,Mibefradil,ARIPIPRAZOLE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
101,Iloperidone,Mibefradil,ILOPERIDONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
102,Cabazitaxel,Mibefradil,CABAZITAXEL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
103,Docetaxel,Mibefradil,DOCETAXEL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
104,Ibrutinib,Mibefradil,IBRUTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MODERATE
105,Simeprevir,Mibefradil,MIBEFRADIL DIHYDROCHLORIDE/SIMEPREVIR [VA Drug Interaction],MODERATE
106,Astemizole,Mibefradil,ASTEMIZOLE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
107,Cisapride,Mibefradil,CISAPRIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],MAJOR
108,Pentaerithrityl Tetranitrate,Vardenafil,PENTAERYTHRITOL TETRANITRATE/VARDENAFIL [VA Drug Interaction],MAJOR
109,Riociguat,Pentaerithrityl Tetranitrate,PENTAERYTHRITOL TETRANITRATE/RIOCIGUAT [VA Drug Interaction],MAJOR
110,Pentaerithrityl Tetranitrate,Sildenafil,PENTAERYTHRITOL TETRANITRATE/SILDENAFIL CITRATE [VA Drug Interaction],MAJOR
111,Dexfenfluramine,Tranylcypromine,DEXFENFLURAMINE HYDROCHLORIDE/TRANYLCYPROMINE [VA Drug Interaction],MODERATE
112,Dexfenfluramine,Phenelzine,DEXFENFLURAMINE HYDROCHLORIDE/PHENELZINE [VA Drug Interaction],MODERATE
113,Dexfenfluramine,Isocarboxazid,DEXFENFLURAMINE HYDROCHLORIDE/ISOCARBOXAZID [VA Drug Interaction],MODERATE
114,Dexfenfluramine,Selegiline,DEXFENFLURAMINE HYDROCHLORIDE/SELEGILINE [VA Drug Interaction],MODERATE
115,Vortioxetine,Dexfenfluramine,DEXFENFLURAMINE HYDROCHLORIDE/VORTIOXETINE [VA Drug Interaction],MAJOR
116,Didanosine,Zalcitabine,"DIDANOSINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]",MODERATE
117,Cimetidine,Choline Theophyllinate,CIMETIDINE/OXTRIPHYLLINE [VA Drug Interaction],MAJOR
118,Ciprofloxacin,Choline Theophyllinate,CIPROFLOXACIN/OXTRIPHYLLINE [VA Drug Interaction],MAJOR
119,Clarithromycin,Choline Theophyllinate,CLARITHROMYCIN/OXTRIPHYLLINE [VA Drug Interaction],MAJOR
120,Theophylline,Oleandomycin,AMINOPHYLLINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MAJOR
122,Astemizole,Oleandomycin,ASTEMIZOLE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MAJOR
123,Terfenadine,Oleandomycin,OLEANDOMYCIN (AS TROLEANDOMYCIN)/TERFENADINE [VA Drug Interaction],MAJOR
124,Midazolam,Oleandomycin,MIDAZOLAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MODERATE
125,Triazolam,Oleandomycin,OLEANDOMYCIN (AS TROLEANDOMYCIN)/TRIAZOLAM [VA Drug Interaction],MODERATE
126,Carbamazepine,Oleandomycin,CARBAMAZEPINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MODERATE
127,Cisapride,Oleandomycin,CISAPRIDE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MAJOR
128,Ciclosporin,Oleandomycin,CYCLOSPORINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MAJOR
129,Ergotamine,Oleandomycin,ERGOTAMINE TARTRATE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MAJOR
130,Alprazolam,Oleandomycin,ALPRAZOLAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MODERATE
131,Diazepam,Oleandomycin,DIAZEPAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MODERATE
132,Cilostazol,Oleandomycin,CILOSTAZOL/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction],MODERATE
133,Oleandomycin,Pimozide,OLEANDOMYCIN (AS TROLEANDOMYCIN)/PIMOZIDE [VA Drug Interaction],MAJOR
134,Thiosalicylic Acid,Warfarin,SODIUM THIOSALICYLATE/WARFARIN [VA Drug Interaction],MODERATE
135,Anisindione,Thiosalicylic Acid,ANISINDIONE/SODIUM THIOSALICYLATE [VA Drug Interaction],MAJOR
136,Dicoumarol,Thiosalicylic Acid,DICUMAROL/SODIUM THIOSALICYLATE [VA Drug Interaction],MODERATE
137,Heparin,Thiosalicylic Acid,HEPARIN/SODIUM THIOSALICYLATE [VA Drug Interaction],MODERATE
138,Phenprocoumon,Thiosalicylic Acid,PHENPROCOUMON/SODIUM THIOSALICYLATE [VA Drug Interaction],MAJOR
139,Diltiazem,Atazanavir,ATAZANAVIR SO4/DILTIAZEM [VA Drug Interaction],MODERATE
140,Atazanavir,Tadalafil,ATAZANAVIR SO4/TADALAFIL [VA Drug Interaction],MODERATE
141,Atazanavir,Tenofovir,ATAZANAVIR SO4/TENOFOVIR [VA Drug Interaction],MAJOR
142,Atazanavir,Cimetidine,ATAZANAVIR SO4/CIMETIDINE [VA Drug Interaction],MODERATE
143,Atazanavir,Esomeprazole,ATAZANAVIR SO4/ESOMEPRAZOLE [VA Drug Interaction],MAJOR
144,Atazanavir,Famotidine,ATAZANAVIR SO4/FAMOTIDINE [VA Drug Interaction],MODERATE
145,Atazanavir,Lansoprazole,ATAZANAVIR SO4/LANSOPRAZOLE [VA Drug Interaction],MODERATE
146,Atazanavir,Nizatidine,ATAZANAVIR SO4/NIZATIDINE [VA Drug Interaction],MODERATE
147,Atazanavir,Omeprazole,ATAZANAVIR SO4/OMEPRAZOLE [VA Drug Interaction],MAJOR
148,Atazanavir,Rabeprazole,ATAZANAVIR SO4/RABEPRAZOLE [VA Drug Interaction],MAJOR
149,Atazanavir,Ranitidine,ATAZANAVIR SO4/RANITIDINE [VA Drug Interaction],MODERATE
150,Atazanavir,Ranitidine Bismuth Citrate,ATAZANAVIR SO4/RANITIDINE BISMUTH CITRATE [VA Drug Interaction],MODERATE
151,Atazanavir,Rifampicin,ATAZANAVIR SO4/RIFAMPIN [VA Drug Interaction],MODERATE
152,Atazanavir,Pantoprazole,ATAZANAVIR SO4/PANTOPRAZOLE [VA Drug Interaction],MAJOR
153,Atazanavir,Delavirdine,ATAZANAVIR SO4/DELAVIRDINE MESYLATE [VA Drug Interaction],MODERATE
154,Atazanavir,Sildenafil,ATAZANAVIR SO4/SILDENAFIL CITRATE [VA Drug Interaction],MODERATE
155,Atazanavir,Vardenafil,ATAZANAVIR SO4/VARDENAFIL [VA Drug Interaction],MODERATE
156,Atazanavir,Rifapentine,ATAZANAVIR SO4/RIFAPENTINE [VA Drug Interaction],MODERATE
157,Amiodarone,Atazanavir,AMIODARONE/ATAZANAVIR SO4 [VA Drug Interaction],MODERATE
158,Atazanavir,Indinavir,ATAZANAVIR SO4/INDINAVIR SULFATE [VA Drug Interaction],MAJOR
159,Atazanavir,Erythromycin,ATAZANAVIR SO4/ERYTHROMYCIN [VA Drug Interaction],MODERATE
160,Atazanavir,Erlotinib,ATAZANAVIR SO4/ERLOTINIB [VA Drug Interaction],MODERATE
161,Atazanavir,Clarithromycin,ATAZANAVIR SO4/CLARITHROMYCIN [VA Drug Interaction],MODERATE
162,Atazanavir,Didanosine,ATAZANAVIR SO4/DIDANOSINE [VA Drug Interaction],MODERATE
163,Atazanavir,Efavirenz,ATAZANAVIR SO4/EFAVIRENZ [VA Drug Interaction],MODERATE
164,Atazanavir,Irinotecan,ATAZANAVIR SO4/IRINOTECAN HYDROCHLORIDE [VA Drug Interaction],MAJOR
165,Atazanavir,Pimozide,ATAZANAVIR SO4/PIMOZIDE [VA Drug Interaction],MAJOR
166,Atazanavir,Fosamprenavir,ATAZANAVIR SO4/FOSAMPRENAVIR [VA Drug Interaction],MODERATE
167,Atazanavir,Ranolazine,ATAZANAVIR SO4/RANOLAZINE [VA Drug Interaction],MAJOR
168,Atazanavir,Sunitinib,ATAZANAVIR SO4/SUNITINIB [VA Drug Interaction],MODERATE
169,Atazanavir,Maraviroc,ATAZANAVIR SO4/MARAVIROC [VA Drug Interaction],MODERATE
170,Atazanavir,Atorvastatin,ATAZANAVIR SO4/ATORVASTATIN CALCIUM [VA Drug Interaction],MAJOR
171,Atazanavir,Simvastatin,ATAZANAVIR SO4/SIMVASTATIN [VA Drug Interaction],MAJOR
172,Atazanavir,Ethinylestradiol,ATAZANAVIR SO4/ETHINYL ESTRADIOL [VA Drug Interaction],MODERATE
173,Atazanavir,Nevirapine,ATAZANAVIR SO4/NEVIRAPINE [VA Drug Interaction],MODERATE
174,Atazanavir,Rifabutin,ATAZANAVIR SO4/RIFABUTIN [VA Drug Interaction],MODERATE
175,Atazanavir,Ixabepilone,ATAZANAVIR SO4/IXABEPILONE [VA Drug Interaction],MODERATE
176,Atazanavir,Etravirine,ATAZANAVIR SO4/ETRAVIRINE [VA Drug Interaction],MAJOR
177,Atazanavir,Sirolimus,ATAZANAVIR SO4/SIROLIMUS [VA Drug Interaction],MODERATE
178,Atazanavir,Temsirolimus,ATAZANAVIR SO4/TEMSIROLIMUS [VA Drug Interaction],MODERATE
179,Atazanavir,Lovastatin,ATAZANAVIR SO4/LOVASTATIN [VA Drug Interaction],MAJOR
180,Atazanavir,Midazolam,ATAZANAVIR SO4/MIDAZOLAM [VA Drug Interaction],MAJOR
181,Atazanavir,Phenytoin,ATAZANAVIR SO4/PHENYTOIN [VA Drug Interaction],MODERATE
182,Atazanavir,Silodosin,ATAZANAVIR SO4/SILODOSIN [VA Drug Interaction],MAJOR
242,Acebutolol,Verapamil,ACEBUTOLOL/VERAPAMIL [VA Drug Interaction],MAJOR
243,Amiodarone,Warfarin,AMIODARONE/WARFARIN [VA Drug Interaction],MAJOR
244,Atenolol,Verapamil,ATENOLOL/VERAPAMIL [VA Drug Interaction],MAJOR
245,Allopurinol,Azathioprine,ALLOPURINOL/AZATHIOPRINE [VA Drug Interaction],MAJOR
246,Carbamazepine,Warfarin,CARBAMAZEPINE/WARFARIN [VA Drug Interaction],MAJOR
247,Carbamazepine,Isoniazid,CARBAMAZEPINE/ISONIAZID [VA Drug Interaction],MAJOR
248,Carteolol,Verapamil,CARTEOLOL/VERAPAMIL [VA Drug Interaction],MAJOR
249,Cimetidine,Warfarin,CIMETIDINE/WARFARIN [VA Drug Interaction],MAJOR
250,Clofibrate,Warfarin,CLOFIBRATE/WARFARIN [VA Drug Interaction],MODERATE
251,Disulfiram,Warfarin,DISULFIRAM/WARFARIN [VA Drug Interaction],MAJOR
252,Isocarboxazid,Pseudoephedrine,ISOCARBOXAZID/PSEUDOEPHEDRINE [VA Drug Interaction],MAJOR
253,Dopamine,Isocarboxazid,DOPAMINE/ISOCARBOXAZID [VA Drug Interaction],MAJOR
254,Ephedrine,Isocarboxazid,EPHEDRINE/ISOCARBOXAZID [VA Drug Interaction],MAJOR
255,Allopurinol,Mercaptopurine,ALLOPURINOL/MERCAPTOPURINE [VA Drug Interaction],MAJOR
256,Furosemide,Gentamicin,FUROSEMIDE/GENTAMICIN [VA Drug Interaction],MODERATE
257,Furosemide,Tobramycin,FUROSEMIDE/TOBRAMYCIN [VA Drug Interaction],MODERATE
258,Amikacin,Furosemide,AMIKACIN/FUROSEMIDE [VA Drug Interaction],MODERATE
